ID,POI_ID,POI_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,LC_LO,LC_LA,BASE_DE
KCLANPO23N000024406,19868716,자란만,60500,N,4882032023000000000,경상남도,고성군,하일면,,4882032023,4882032000,128.2136147,34.94046588,20231220
KCLANPO23N000046090,22370318,하주발효마을,60500,N,4519031021105390003,전라북도,남원시,주천면,539-3,4519031021,4519031000,127.4052826,35.38000874,20231220
KCLANPO23N000024854,19869295,신선대,60500,N,4580037023000000000,전라북도,부안군,진서면,,4580037023,4580037000,126.545059,35.61742456,20231220
KCLANPO23N000021853,18327937,위니드투어,60400,N,1165010800113370006,서울특별시,서초구,서초동,1337-6,1165010800,1165052000,127.0292893,37.49130094,20231220
KCLANPO23N000022172,18351616,하이코리아여행사,60400,N,4777035032100030010,경상북도,영덕군,축산면,3-10,4777035032,4777035000,129.4498029,36.50811492,20231220
KCLANPO23N000024954,19869403,소울아카이브관,60500,N,4682042024104190000,전라남도,해남군,문내면,419,4682042024,4682042000,126.3100241,34.58896283,20231220
KCLANPO23N000022126,18349164,주식회사동서여행기획,60400,N,4729011600106590005,경상북도,경산시,계양동,659-5,4729011600,4729056000,128.7488392,35.82229016,20231220
KCLANPO23N000022109,18349146,주모두모아투어,60400,N,1150010500107740009,서울특별시,강서구,마곡동,774-9,1150010500,1150060300,126.8320824,37.56010772,20231220
KCLANPO23N000021937,18329425,미래클라우드,60400,N,1168010100108280029,서울특별시,강남구,역삼동,828-29,1168010100,1168064000,127.0337945,37.49700377,20231220
KCLANPO23N000033007,20760152,파라다이스월드패밀리파크,60500,N,4719012300110230002,경상북도,구미시,진평동,1023-2,4719012300,4719068000,128.4180423,36.10720503,20231220
KCLANPO23N000022918,18861012,우도사랑투어,60400,N,5011010200100460001,제주특별자치도,제주시,일도이동,46-1,5011010200,5011052000,126.5445823,33.50566252,20231220
KCLANPO23N000021910,18329397,주식회사더해피투어,60400,N,2629010600100550001,부산광역시,남구,대연동,55-1,2629010600,2629053000,129.1007074,35.13739584,20231220
KCLANPO23N000024967,19869427,전북테크노파크부안신재생에너지테마파크,60500,N,4580040024112370000,전라북도,부안군,하서면,1237,4580040024,4580040000,126.5967539,35.7130898,20231220
KCLANPO23N000022138,18349189,주디와이즈컴즈,60400,N,1114015000103100068,서울특별시,중구,을지로4가,310-68,1114015000,1114060500,126.9955905,37.56592767,20231220
KCLANPO23N000041828,21879832,방동관광지,60500,N,5181033024100340005,강원특별자치도,인제군,기린면,34-5,5181033024,5181033000,128.3963384,37.94370496,20231220
KCLANPO23N000017971,17398208,대항리패총,60500,N,4580036026103890003,전라북도,부안군,변산면,389-3,4580036026,4580036000,126.5336887,35.68737501,20231220
KCLANPO23N000023196,18908811,ST투어,60400,N,3611010700107460000,세종특별자치시,,나성동,746,3611010700,3611051800,127.2574544,36.48642946,20231220
KCLANPO23N000022143,18349196,여행매니아,60400,N,2771025628115270005,대구광역시,달성군,다사읍,1527-5,2771025628,2771025600,128.4662036,35.86422789,20231220
KCLANPO23N000024375,19868659,농업법인맑은물,60500,N,4183040023102200002,경기도,양평군,용문면,220-2,4183040023,4183040000,127.5775241,37.48416798,20231220
KCLANPO23N000022934,18864307,평택글로벌여행사,60400,N,4122011400100860002,경기도,평택시,통복동,86-2,4122011400,4122061000,127.0848101,36.99549837,20231220
KCLANPO23N000024850,19869290,용소,60500,N,4887036033201460000,경상남도,함양군,안의면,산146,4887036033,4887036000,127.7708945,35.6777658,20231220
KCLANPO23N000025057,19878860,고천암철새도래지,60500,N,4682040024113980014,전라남도,해남군,황산면,1398-14,4682040024,4682040000,126.48975,34.54971666,20231220
KCLANPO23N000024332,19868585,광교산생태학교,60500,N,4111113900104020000,경기도,수원시 장안구,하광교동,402,4111113900,4111160000,127.0319625,37.3018,20231220
KCLANPO23N000023207,18909621,솔나무호스텔,60400,N,2811014900100790001,인천광역시,중구,을왕동,79-1,2811014900,2811063000,126.3975774,37.45448623,20231220
KCLANPO23N000029552,20588006,새별오름나홀로나무,60500,N,5011025025200300008,제주특별자치도,제주시,한림읍,산30-8,5011025025,5011025000,126.3495245,33.35085967,20231220
KCLANPO23N000021936,18329424,알지투어,60400,N,1168010500101400017,서울특별시,강남구,삼성동,140-17,1168010500,1168059000,127.0495324,37.50652333,20231220
KCLANPO23N000024259,19868476,동키동산,60500,N,4150033026104500003,경기도,이천시,호법면,450-3,4150033026,4150033000,127.3998851,37.20004662,20231220
KCLANPO23N000030238,20625757,독립운동가의거리,60500,N,4480025625108740000,충청남도,홍성군,홍북읍,874,4480025625,4480025600,126.6639323,36.65623268,20231220
KCLANPO23N000024310,19868553,양평치즈체험마을,60500,N,4183033021111160000,경기도,양평군,양서면,1116,4183033021,4183033000,127.3210471,37.54392347,20231220
KCLANPO23N000021972,18330455,오랑투어,60400,N,4115010100104420011,경기도,의정부시,의정부동,442-11,4115010100,4115052000,127.0442132,37.7386778,20231220
KCLANPO23N000041831,21879836,광덕계곡관광지,60500,N,5179034022202340010,강원특별자치도,화천군,사내면,산234-10,5179034022,5179034000,127.4806765,38.07579966,20231220
KCLANPO23N000041826,21879828,두타연,60500,N,5180033027110240000,강원특별자치도,양구군,방산면,1024,5180033027,5180033000,127.9817799,38.24622841,20231220
KCLANPO23N000046240,22384315,석모도만남의광장,60500,N,2871041024200290005,인천광역시,강화군,삼산면,산29-5,2871041024,2871041000,126.3500737,37.69472897,20231220
KCLANPO23N000024568,19868940,호호초콜릿,60500,N,5013025925116720000,제주특별자치도,서귀포시,성산읍,1672,5013025925,5013025900,126.875278,33.43968796,20231220
KCLANPO23N000025246,19903373,안동한지심우체험관,60500,N,4717025039100430004,경상북도,안동시,풍산읍,43-4,4717025039,4717025000,128.5552263,36.58118067,20231220
KCLANPO23N000050480,23039080,화수루,60500,N,4777038038100060001,경상북도,영덕군,창수면,6-1,4777038038,4777038000,129.3219856,36.59731619,20231220
