POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LC_LO,LC_LA
20934475,옛주막거리,서울특별시,구로구,126.8329074,37.49157244
21086173,대한민국임시수도기념거리,부산광역시,서구,129.0196927,35.10342657
20868037,망리단길,서울특별시,마포구,126.9054931,37.55411282
21085865,화서역먹자골목,경기도,수원시 팔달구,126.9889858,37.28732856
20868042,샤로수길,서울특별시,관악구,126.9555807,37.47860113
21085625,초리단길,부산광역시,부산진구,129.0482525,35.18546162
17413293,수원통닭거리,경기도,수원시 팔달구,127.0177058,37.28006081
5614296,양수리카페촌,경기도,남양주시,127.3558781,37.63553931
21085927,주꾸미구이골목,부산광역시,중구,129.0362579,35.10070927
18264388,익선동한옥마을,서울특별시,종로구,126.9900325,37.57364789
5968009,문현동곱창골목,부산광역시,남구,129.0696899,35.13571011
21085551,프로포즈존,경기도,군포시,126.9317131,37.35971512
17459104,산성흑염소먹거리촌,부산광역시,금정구,129.0565303,35.24406911
5965740,천호동먹자골목,서울특별시,강동구,127.1272828,37.5390352
16586921,이천농업농촌테마공원,경기도,이천시,127.4448576,37.17814937
17500737,가평레일파크,경기도,가평군,127.5158879,37.82889986
21420131,소나무길,서울특별시,종로구,127.0001694,37.58217048
21085599,구제골목,부산광역시,중구,129.0288429,35.10132018
21085595,강서낙동강변30리벚꽃길,부산광역시,강서구,128.9842817,35.20956718
